127.0.0.1 - - [02/Jun/2024:22:29:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/index.jsp HTTP/1.1" 200 22806
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/css/swiper-bundle.min.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/home1.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/home2.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/js/scrollreveal.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/about1.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/about2.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/discover1.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/js/swiper-bundle.min.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/common.css HTTP/1.1" 200 4674
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/js/main.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/discover2.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/discover3.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/discover4.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/experience1.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/experience2.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/place1.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/place2.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/place3.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/place4.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/place5.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/sponsors1.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/sponsors3.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/sponsors2.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/video/video.mp4 HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/sponsors4.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /JSPBook/assets/img/sponsors5.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:29:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/index.jsp HTTP/1.1" 200 22822
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/css/swiper-bundle.min.css HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/img/home2.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/img/home1.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/img/about1.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/img/about2.jpg HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/img/discover1.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/js/scrollreveal.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [02/Jun/2024:22:30:21 +0900] "GET /JSPBook/assets/js/swiper-bundle.min.js HTTP/1.1" 404 857
